Fold,kNN,C4.5,SVM,ANN
65,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
66,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
67,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
68,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
69,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
70,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
71,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.0001}"
72,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
73,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
74,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.0001}"
75,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
76,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
77,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
78,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
